I want to know eligibility for sim requirement
How many days are required for sim after approval?
Whose approval is required for sim?
How to remap sim?
What is process for IROAM facilities/activation?
My sim card is not working
I want to request for ConCall
What time will required to request for arranging a ConCall?
How to add or remove the participants in ConCall?
Required new access card
I want new ID card
Required new visiting card
I have exhausted my visiting cards
I have lost my ID card
Drinking water is unavailable
Getting bad odour in drinking water
Water dispenser not working
Required new water dispenser
I am facing water seepage issue
I want to request for stationary
There are no envelopes
There should be higher range hotel in Hotel Eligibility Policy
Get wrong GST number on the invoice from Hotel
Can you book other hotel than OYO?
Rent of branch is unpaid
Payment of electricity bill is pending
Required new chair
My chair is broken
We require new fans
Ceiling fan is not working
Lights are not working
Exhaust fan in the washroom not working
Sofa is torn
Security system not working
Inverter not working
UPS not working
Generator not working
Air Conditioner/Air Cooler not working
Do we have cab facility?
Do need to use own vehicle for official trips?
can i get flight ticket for urgent business meeting?
Can you book train ticket?
Lost charger of laptop
Lost charger of tablet
Can I shift the desktop at another branch?
One way vision at the main door
Collapsible gate not working
Main shutter not working
Vault room door not closing
Windows not working
Pest control
Cockroaches on the floor
Is Fire extinguisher expired?
Required new fire extinguisher
Weighing machine certificate expired
New weighing machine is required
Notice board is broken
Glow Sign Board is broken
Glow Sign Board light not working
Foul smell coming in the washroom
Tissues are unavailable in the washroom
Getting dongle connection issue
How to Convert Individual number (IOIP) to Corporate (COCP)?
I want to about Labour license
Where is Complaint box?
Painting
Dustbin
Required Monitor in vault room for cctv set up
Glass of valuer cabin broken
Glass of valuer table broken
House keeping material is required
Access control
Letter heads are required
Is there Guest house facility?
Resigned submit assets, sim and id card
